word	ruby	meaning	level
整合	せいごう	全体がうまく合っていること	1
整序	せいじょ	順序を整えること	1
再編	さいへん	組み直すこと	1
再構築	さいこうちく	作り直して組み立てること	1
再評価	さいひょうか	価値や意味を改めて見直すこと	1
再定義	さいていぎ	意味や範囲を新しく決め直すこと	1
再考	さいこう	改めて考えること	1
包括的	ほうかつてき	全体を広く含んでいるさま	1
限定的	げんていてき	範囲が限られているさま	1
暫定	ざんてい	最終決定ではなく一時的に定めること	1
恒常	こうじょう	いつも変わらないこと	1
一過性	いっかせい	一時的で長続きしないこと	1
可逆	かぎゃく	元に戻せること	1
不可逆	ふかぎゃく	元に戻せないこと	1
多義的	たぎてき	意味が複数に解釈できるさま	1
単一	たんいつ	一つだけであること	1
複合	ふくごう	いくつかが組み合わさること	1
一元的	いちげんてき	一つの原理で説明しようとするさま	1
多元的	たげんてき	複数の原理や価値を認めるさま	1
中立	ちゅうりつ	どちらにも偏らないこと	1
偏向	へんこう	一方にかたよること	1
偏見	へんけん	かたよった見方	1
先入観	せんにゅうかん	前もって持っている思い込み	1
固定観念	こていかんねん	変えにくい決まった考え	1
通念	つうねん	世間一般に広く認められている考え	1
慣習	かんしゅう	長く続いてきたしきたり	1
風潮	ふうちょう	その時代に広く見られる傾向	1
趨勢	すうせい	物事が進んでいく大きな流れ	1
潮流	ちょうりゅう	時代の大きな流れ	1
機運	きうん	何かをしようとする気分の高まり	1
情勢	じょうせい	その時々の事情や様子	1
所産	しょさん	ある原因や過程から生まれたもの	1
産物	さんぶつ	あるものから生み出された結果	1
副産物	ふくさんぶつ	目的以外に生じた結果	1
効率	こうりつ	少ない労力で大きな効果を得る度合い	1
効果	こうか	よい結果	1
影響	えいきょう	他に及ぼす働き	1
波及	はきゅう	影響が広く及ぶこと	1
浸透	しんとう	内部まで広くしみ込むこと	1
定着	ていちゃく	しっかり根づくこと	1
普及	ふきゅう	広く行き渡ること	1
啓発	けいはつ	理解を深めるよう教え導くこと	1
啓蒙	けいもう	知識を授けて人々を開明すること	1
受容	じゅよう	受け入れること	1
拒絶	きょぜつ	受け入れずしりぞけること	1
容認	ようにん	よいとは思わないが認めること	1
承認	しょうにん	認めること	1
承継	しょうけい	受け継ぐこと	1
継承	けいしょう	あとを受け継ぐこと	1
継続	けいぞく	続けること	1
断絶	だんぜつ	つながりが断たれること	1
保守	ほしゅ	今の状態を守ろうとすること	1
革新	かくしん	新しく改めること	1
刷新	さっしん	古いものを改めて新しくすること	1
皮肉	ひにく	遠回しに相手を批判すること	1
画一	かくいつ	みな同じようで変化がないこと	1
多様	たよう	さまざまであること	1
均質	きんしつ	性質がどれも同じであること	1
異質	いしつ	性質が大きく異なること	1
同質	どうしつ	性質が似ていること	1
固有	こゆう	そのものだけに特有であること	1
比率	ひりつ	全体に対する割合	1
比重	ひじゅう	その物事が占める重要さ	1
尺度	しゃくど	物事を測る基準	1
指標	しひょう	判断の目安となるもの	1
基準	きじゅん	判断や比較のもとになるもの	1
目安	めやす	だいたいの基準	1
論点	ろんてん	議論で問題になる点	1
争点	そうてん	争いの中心となる点	1
焦点	しょうてん	注目が集まる中心	1
主眼	しゅがん	特に重視する点	1
本質	ほんしつ	そのものの根本的な性質	1
真髄	しんずい	最も大事な核心	1
本旨	ほんし	もとの意味やねらい	1
要点	ようてん	大事な点	1
骨子	こっし	文章や計画の大筋	1
概略	がいりゃく	大まかな内容	1
概要	がいよう	全体の大まかな様子	1
全容	ぜんよう	全体のありさま	1
輪郭	りんかく	大体の姿	1
布置	ふち	物や人を配置すること	1
配置	はいち	置き方	1
区分	くぶん	いくつかに分けること	1
分類	ぶんるい	種類ごとに分けること	1
類型	るいけい	似たものをまとめた型	1
範疇	はんちゅう	同じ性質のものをくくる大きな分類	1
範例	はんれい	手本となる例	1
典型	てんけい	その特徴をよく示す例	1
事例	じれい	具体的な例	1
事象	じしょう	実際に起こる出来事	1
現象	げんしょう	目に見える形で現れたもの	1
実例	じつれい	実際の例	1
実証的	じっしょうてき	事実やデータに基づくさま	1
経験的	けいけんてき	経験に基づくさま	1
観察	かんさつ	よく見て調べること	1
検査	けんさ	調べて異常がないか確かめること	1
測定	そくてい	数や大きさをはかること	1
比較	ひかく	違いや共通点を見ること	1
対照	たいしょう	並べて違いを明らかにすること	1
対比	たいひ	違いを際立たせるために並べて示すこと	1
照応	しょうおう	互いに対応してつながること	1
符合	ふごう	ぴったり合うこと	1
合致	がっち	ぴったり一致すること	1
妥当性	だとうせい	判断や方法が適切である度合い	1
信頼性	しんらいせい	信用できる度合い	1
客観	きゃっかん	主観を離れて物事そのものを見ること	1
主観	しゅかん	自分の感じ方や考えに基づく見方	1
客体	きゃくたい	認識や行為の対象となるもの	1
主体性	しゅたいせい	自ら考えて動く性質	1
自己言及	じこげんきゅう	自分自身について述べること	1
反省	はんせい	自分を振り返ること	1
省察	せいさつ	深く考えて反省すること	1
省略	しょうりゃく	一部を略して省くこと	1
明示	めいじ	はっきり示すこと	1
暗示	あんじ	はっきり言わずにそれとなく示すこと	1
示唆	しさ	それとなく教え示すこと	1
含意	がんい	言外に含まれている意味	1
暗黙	あんもく	言葉にしないこと	1
黙示	もくじ	言葉にせずに示すこと	1
明証	めいしょう	はっきり証明されていること	1
整備	せいび	使いやすいように整えること	1
脆弱	ぜいじゃく	もろくて弱いこと	1
強靱	きょうじん	強くしなやかなこと	1
堅牢	けんろう	丈夫でしっかりしていること	1
柔軟	じゅうなん	やわらかく対応できること	1
弾力	だんりょく	状況に応じて伸び縮みできる性質	1
硬直	こうちょく	かたくなって動きがとれないこと	1
流動	りゅうどう	一定せず動いて変わること	1
停滞	ていたい	物事が進まずとどこおること	1
停頓	ていとん	中断して進まないこと	1
促進	そくしん	進みを早めること	1
抑制	よくせい	おさえて強く出ないようにすること	1
阻害	そがい	邪魔して進めなくすること	1
増幅	ぞうふく	より大きく広げること	1
縮減	しゅくげん	小さく減らすこと	1
軽減	けいげん	軽く減らすこと	1
削減	さくげん	削って減らすこと	1
補完	ほかん	足りない部分を補って完全にすること	1
代替	だいたい	代わりにすること	1
補填	ほてん	不足を埋めること	1
補強	ほきょう	より強くすること	1
補助	ほじょ	そばから助けること	1
誘発	ゆうはつ	ある出来事を引き起こすこと	1
喚起	かんき	呼び起こすこと	1
想起	そうき	思い出すこと	1
想像	そうぞう	頭の中で思い描くこと	1
創造	そうぞう	新しいものを作り出すこと	1
模倣	もほう	まねをすること	1
再現	さいげん	過去の状態や出来事をもう一度同じ形で表すこと	1
表象	ひょうしょう	心の中や作品の中に表された姿	1
象徴	しょうちょう	あるものを代表して示すもの	1
暗喩	あんゆ	〜のようだと言わずにたとえる比喩	1
直喩	ちょくゆ	〜のようだとたとえる比喩	1
換喩	かんゆ	近い関係の語で言い換えること	1
提喩	ていゆ	一部で全体を表すこと	1
逼迫	ひっぱく	余裕がなく差し迫った状態になること	1
拮抗	きっこう	力や勢いがほぼ同じで対立すること	1
凌駕	りょうが	他よりもはるかにすぐれていること	1
逡巡	しゅんじゅん	決断できずにためらうこと	1
顧慮	こりょ	状況や立場を考えて気にかけること	1
勘案	かんあん	複数の事情を合わせて判断材料とすること	1
黙認	もくにん	問題があると知りつつあえて認めること	1
黙殺	もくさつ	意図的に無視して取り上げないこと	1
黙過	もっか	問題にせずそのままにすること	1
忖度	そんたく	相手の意向を推し量って行動すること	1
看做す	みなす	あるものを別のものとして扱うこと	1
顕現	けんげん	内にあったものが外に現れ出ること	1
内包	ないほう	ある概念の中に意味として含まれること	1
外延	がいえん	ある概念が当てはまる対象の広がり	1
帰依	きえ	心から頼り従うこと	1
帰順	きじゅん	従うようになること	1
帰納法	きのうほう	個別から一般へ導く方法	1
演繹法	えんえきほう	一般から個別へ導く方法	1
矜持	きょうじ	自分の立場や能力に対する誇り	1
自負	じふ	自分の力量を高く評価している気持ち	1
過信	かしん	根拠以上に強く信じてしまうこと	1
軽視	けいし	たいしたことないとみること	1
軽侮	けいぶ	相手を価値の低いものとして見下すこと	1
蔑視	べっし	人を劣った存在として扱うこと	1
顕彰	けんしょう	功績をほめたたえること	1
糾弾	きゅうだん	不正や過ちを厳しく責め立てること	1
弁明	べんめい	自分の立場を説明して誤解を解こうとすること	1
釈明	しゃくめい	疑いや非難に対して事情を説明すること	1
弁護	べんご	非難されている人をかばうこと	1
擁護	ようご	支持して守ろうとすること	1
助長	じょちょう	望ましくない傾向を結果的に強めてしまうこと	1
助成	じょせい	資金などを出して助けること	1
助勢	じょせい	味方して力を貸すこと	1
是認	ぜにん	妥当であるとして受け入れること	1
否認	ひにん	事実や主張を認めないこと	1
否定	ひてい	そうではないとすること	1
肯定	こうてい	正しいものとして受け入れること	1
確証	かくしょう	確かな証拠	1
証左	しょうさ	ある事実を裏付ける具体的な手がかり	1
論拠	ろんきょ	主張を支える理由や根拠	1
帰納的	きのうてき	帰納に基づくさま	1
演繹的	えんえきてき	演繹に基づくさま	1
抽出	ちゅうしゅつ	多くの中から必要な要素だけを取り出すこと	1
抽象化	ちゅうしょうか	本質だけを取り出すこと	1
具体化	ぐたいか	はっきりした形にすること	1
具現	ぐげん	抽象的な内容を具体的な形で表すこと	1
具象	ぐしょう	具体的な形として表すこと	1
潜伏	せんぷく	表面には出ずに内部にとどまること	1
潜行	せんこう	人目を避けて行動すること	1
顕示	けんじ	意図的に外に示して見せること	1
顕著性	けんちょせい	目立つ性質	1
偏在	へんざい	特定の場所にかたよって存在すること	1
散在	さんざい	ばらばらに存在すること	1
遍在	へんざい	広い範囲にわたって存在していること	1
遍歴	へんれき	各地を巡り歩くこと	1
偏重	へんちょう	一方の要素だけを重く扱うこと	1
集約	しゅうやく	分散しているものを一つにまとめること	1
収斂	しゅうれん	多様なものが次第に同じ方向にまとまること	1
発散	はっさん	中心から外へ広がっていくこと	1
進展	しんてん	進んで発展すること	1
進捗	しんちょく	物事の進み具合	1
転機	てんき	流れを大きく変えるきっかけとなる出来事	1
画期	かっき	それまでの常識を大きく変える出来事	1
転回	てんかい	方向が変わること	1
転位	てんい	位置や状態が変わること	1
変遷	へんせん	時間の経過とともに移り変わること	1
推移	すいい	状態が時間とともに変化していくこと	1
漸変	ぜんぺん	少しずつ変わること	1
急変	きゅうへん	急に変わること	1
改変	かいへん	内容の一部を変えて別のものにすること	1
改良	かいりょう	よりよく直すこと	1
改訂	かいてい	内容を見直して修正すること	1
更新	こうしん	新しくすること	1
恒久	こうきゅう	長い期間変わらず続くこと	1
暫定的	ざんていてき	一時的に決めたさま	1
暫定措置	ざんていそち	一時的な対応	1
前提条件	ぜんていじょうけん	議論が成り立つために必要な条件	1
必須条件	ひっすじょうけん	なくてはならない条件	1
制約条件	せいやくじょうけん	行動を制限する条件	1
約束事	やくそくごと	決められた取り決め	1
合意形成	ごういけいせい	異なる意見を調整して一致させること	1
合議	ごうぎ	複数人で話し合って決定すること	1
合致点	がっちてん	一致する部分	1
論難	ろんなん	論理的に問題点を指摘して非難すること	1
論破	ろんぱ	議論で相手を打ち負かすこと	1
論駁	ろんばく	相手の主張の誤りを論理的に示すこと	1
反駁	はんばく	反対の立場から相手の意見を否定すること	1
批駁	ひばく	批判的に検討して論じること	1
批判的	ひはんてき	物事を検討して評価するさま	1
批評	ひひょう	価値を評価して論じること	1
逼塞	ひっそく	行き詰まって自由に動けない状態になること	1
跋扈	ばっこ	思いのままに振る舞ってのさばること	1
僥倖	ぎょうこう	思いがけない幸運	1
明瞭	めいりょう	内容や意味がはっきりしていること	1
冗長	じょうちょう	不要な部分が多く簡潔でないこと	1
端的	たんてき	要点を的確に短く表していること	1
曖昧性	あいまいせい	意味が一つに定まらない性質	1
多義性	たぎせい	一つの語が複数の意味を持つこと	1
文脈依存	ぶんみゃくいぞん	前後関係によって意味が変わること	1
脱文脈化	だつぶんみゃくか	本来の文脈から切り離して扱うこと	1
連関	れんかん	複数の要素が互いに関係し合うこと	1
相互作用	そうごさよう	互いに影響を及ぼし合うこと	1
相関関係	そうかんかんけい	二つの事柄が連動して変化する関係	1
擬似相関	ぎじそうかん	実際には関係がないのに関連があるように見えること	1
構成要素	こうせいようそ	全体を成り立たせている部分	1
歴史的背景	れきしてきはいけい	過去の出来事が現在に影響している状況	1
抽象度	ちゅうしょうど	具体性から離れて本質的に捉える度合い	1
一般化	いっぱんか	個別の事例から共通点を見出すこと	1
特殊化	とくしゅか	一般的なものを特定の条件に限定すること	1
例証	れいしょう	具体例を用いて主張を裏付けること	1
階層構造	かいそうこうぞう	上下の関係を持って構成される仕組み	1
整合性	せいごうせい	全体として矛盾なく成り立っていること	1
一貫性	いっかんせい	考えや態度にぶれがないこと	1
断続性	だんぞくせい	途切れながら続く性質	1
可変性	かへんせい	状況に応じて変化できる性質	1
相対性	そうたいせい	基準によって評価が変わる性質	1
普遍性	ふへんせい	場所や時代を超えて当てはまる性質	1
拘束性	こうそくせい	自由な行動が制限される性質	1
自発性	じはつせい	外から強制されず自ら行う性質	1
規定性	きていせい	条件によって内容が決まる性質	1
偶発性	ぐうはつせい	偶然の要素によって左右される性質	1
必然性	ひつぜんせい	避けられずそうなる性質	1
包含	ほうがん	ある範囲の中に含まれていること	1
排他	はいた	互いに同時には成立しないこと	1
内実	ないじつ	外見ではなく実際の中身	1
外見	がいけん	外から見える様子	1
転換点	てんかんてん	状況が大きく変わる節目	1
先鋭化	せんえいか	立場や意見がより極端になっていくこと	1
形而上	けいじじょう	感覚では捉えられない抽象的な領域に関すること	1
形而下	けいじか	感覚的に捉えられる具体的な事物に関すること	1
超克	ちょうこく	困難や課題を乗り越えてさらに高い段階に進むこと	1
相補	そうほ	互いに不足を補い合う関係	1
均質化	きんしつか	性質の違いがなくなり同じようになること	1
異化	いか	なじみのあるものをあえて異質に見せること	1
同化	どうか	異なるものが似た性質に変わること	1
内在化	ないざいか	外から与えられた価値を自分のものとして受け入れること	1
外化	がいか	内面の考えや感情を外に表すこと	1
再現性	さいげんせい	同じ条件で同じ結果が得られる性質	1
信憑性	しんぴょうせい	その情報が真実らしいと感じられる度合い	1
客観性	きゃっかんせい	個人の主観に左右されない性質	1
主観性	しゅかんせい	個人の感じ方や立場に依存する性質	1
内省	ないせい	自分の考えや行動を振り返って考えること	1
俯瞰	ふかん	全体を高い視点から見渡すこと	1
局所的	きょくしょてき	全体ではなく一部に限られるさま	1
全体的	ぜんたいてき	部分ではなく全体に関わるさま	1
整序化	せいじょか	ばらばらなものを秩序立てて並べること	1
再編成	さいへんせい	既存の構造を組み直すこと	1
再解釈	さいかいしゃく	既存の内容を別の視点から読み直すこと	1
再検討	さいけんとう	結論を出す前に改めて考え直すこと	1
暫定的措置	ざんていてきそち	最終決定までの間に取られる仮の対応	1
恒常性	こうじょうせい	変化せず安定している性質	1
流動性	りゅうどうせい	固定せず状況に応じて変わる性質	1
硬直性	こうちょくせい	柔軟さを失い変化できない性質	1
柔軟性	じゅうなんせい	状況に応じて対応を変えられる性質	1
冗長性	じょうちょうせい	余分な要素を持たせて安定性を高める仕組み	1
冗長表現	じょうちょうひょうげん	同じ内容を重ねて述べる無駄な言い方	1
省略表現	しょうりゃくひょうげん	文脈で分かる部分をあえて省く言い方	1
含蓄	がんちく	短い言葉の中に深い意味を含むこと	1
含意性	がんいせい	言葉の裏に別の意味が込められている性質	1
暗示性	あんじせい	はっきり言わずに意味を伝える性質	1
明示性	めいじせい	内容をはっきり示す性質	1
比喩性	ひゆせい	別のものにたとえて表現する性質	1
象徴性	しょうちょうせい	具体物で抽象的な意味を表す性質	1
指示性	しじせい	特定の対象を指し示す働き	1
参照性	さんしょうせい	他の情報を前提に意味が決まる性質	1
独立性	どくりつせい	他に依存せず成り立つ性質	1
依存性	いぞんせい	他の要素に左右される性質	1
連続的変化	れんぞくてきへんか	途切れず徐々に変わること	1
断続的変化	だんぞくてきへんか	途切れながら変化すること	1
非連続的変化	ひれんぞくてきへんか	ある時点で急激に変わること	1
漸次的進行	ぜんじてきしんこう	少しずつ段階的に進むこと	1
急激な変動	きゅうげきなへんどう	短時間で大きく変化すること	1
均衡維持	きんこういじ	バランスを保とうとする働き	1
均衡破綻	きんこうはたん	バランスが崩れて成り立たなくなること	1
過剰反応	かじょうはんのう	必要以上に強く反応すること	1
抑制作用	よくせいさよう	働きを弱める方向に作用すること	1
促進作用	そくしんさよう	働きを強める方向に作用すること	1
阻害要因	そがいよういん	物事の進行を妨げる要素	1
促進要因	そくしんよういん	進展を加速させる原因となる要素	1
誘因	ゆういん	行動を引き起こすきっかけとなる要素	1
誘導	ゆうどう	特定の方向へ導くこと	1
介在	かいざい	二つの間に入り込んで影響を与えること	1
媒介作用	ばいかいさよう	間に入って関係を成立させる働き	1
直接的影響	ちょくせつてきえいきょう	中間を介さず及ぶ影響	1
間接的影響	かんせつてきえいきょう	他の要素を通じて及ぶ影響	1
構造的制約	こうぞうてきせいやく	仕組みによって自由が制限されること	1
制度的枠組み	せいどてきわくぐみ	社会のルールとして機能する仕組み	1
文化的規範	ぶんかてききはん	社会で共有される価値観や行動基準	1
社会的文脈	しゃかいてきぶんみゃく	社会全体の状況や背景	1
歴史的連続性	れきしてきれんぞくせい	過去から現在へ続くつながり	1
歴史的断絶	れきしてきだんぜつ	過去とのつながりが断たれること	1
内面的葛藤	ないめんてきかっとう	自分の中で対立する感情や考え	1
外的圧力	がいてきあつりょく	外部から受ける影響や強制	1
自己規制	じこきせい	自分自身で行動を制御すること	1
他律的行動	たりつてきこうどう	外からの指示によって行う行動	1
主体的選択	しゅたいてきせんたく	自分の意思で選び取ること	1
客観的判断	きゃっかんてきはんだん	個人的感情を排して行う判断	1
主観的評価	しゅかんてきひょうか	個人の感じ方に基づく評価	1
価値判断	かちはんだん	何が重要かを基準に評価すること	1
意味付与	いみふよ	出来事に意味を与えて解釈すること	1
認識枠組み	にんしきわくぐみ	物事を理解する際の基本的な考え方	1
思考様式	しこうようしき	考え方のパターンや傾向	1
認知的偏り	にんちてきかたより	無意識のうちに判断が偏ること	1
批判的思考	ひはんてきしこう	情報をそのまま受け入れず検討する態度	1
創造的思考	そうぞうてきしこう	新しい発想を生み出す考え方	1
論理的飛躍	ろんりてきひやく	根拠が不十分なまま結論に進むこと	1
均衡化	きんこうか	ばらつきをならしてつり合いのとれた状態にすること	1
局在	きょくざい	特定の場所や範囲に限って存在すること	1
拡散	かくさん	一点から広い範囲へ広がっていくこと	1
収容	しゅうよう	内部に取り入れておさめること	1
交錯	こうさく	複数の要素が入り混じって複雑になること	1
錯綜	さくそう	物事が入り組んで分かりにくくなること	1
錯誤	さくご	思い違いや判断の誤り	1
誤認	ごにん	事実とは異なる認識を持つこと	1
過小評価	かしょうひょうか	実際よりも低く見積もること	1
過大評価	かだいひょうか	実際以上に高く見積もること	1
再帰	さいき	同じ構造が繰り返し現れること	1
再配置	さいはいち	位置や構成を組み替えて並べ直すこと	1
再整理	さいせいり	混乱したものを整えて分かりやすくすること	1
再統合	さいとうごう	分かれていたものを一つにまとめ直すこと	1
再構成	さいこうせい	要素を組み替えて新しい形にすること	1
再検証	さいけんしょう	一度確認した内容をもう一度確かめること	1
再定立	さいていりつ	考えや理論を新たに組み立てること	1
独立変数	どくりつへんすう	他の要因に影響されず変化する要素	1
従属変数	じゅうぞくへんすう	他の要因によって変化が左右される要素	1
臨界点	りんかいてん	変化が急激に起こる境目となる点	1
経時変化	けいじへんか	時間の経過によって変わること	1
持続的状態	じぞくてきじょうたい	長期間維持される状態	1
一時的状態	いちじてきじょうたい	短期間だけ続く状態	1
瞬間的変化	しゅんかんてきへんか	極めて短時間で起こる変化	1
漸進的発展	ぜんしんてきはってん	少しずつ進歩していくこと	1
急激な進展	きゅうげきなしんてん	短期間で大きく進むこと	1
停滞状態	ていたいじょうたい	変化や進展が止まっている状態	1
停滞要因	ていたいよういん	進行を妨げる原因となる要素	1
抑制要因	よくせいよういん	進行を弱める方向に働く要素	1
制御機構	せいぎょきこう	働きを調整して一定に保つ仕組み	1
調整作用	ちょうせいさよう	全体のバランスを整える働き	1
均衡回復	きんこうかいふく	崩れたバランスを元に戻すこと	1
安定化	あんていか	変動を抑えて落ち着かせること	1
不安定化	ふあんていか	安定していた状態が崩れること	1
適応過程	てきおうかてい	環境に合わせて変化していく過程	1
適応能力	てきおうのうりょく	変化に対応する力	1
適応失敗	てきおうしっぱい	環境にうまく対応できないこと	1
淘汰	とうた	不適応なものが排除されること	1
選択圧	せんたくあつ	ある特性が選ばれる方向に働く力	1
進化的変化	しんかてきへんか	長い時間の中で特性が変わること	1
変異	へんい	性質が突然変わること	1
変動要因	へんどうよういん	変化を引き起こす原因	1
影響要素	えいきょうようそ	結果に関与する要因	1
決定要因	けっていよういん	結果を左右する重要な原因	1
付随的要素	ふずいてきようそ	主要ではないが伴って現れる要素	1
副次的効果	ふくじてきこうか	主な目的とは別に生じる結果	1
波及効果	はきゅうこうか	影響が次々と広がること	1
連鎖反応	れんさはんのう	一つの変化が次の変化を引き起こすこと	1
累積効果	るいせきこうか	積み重なって大きくなる影響	1
相乗効果	そうじょうこうか	複数の要素が合わさって効果が高まること	1
相殺効果	そうさいこうか	互いの作用が打ち消し合うこと	1
干渉	かんしょう	互いに影響し合って変化すること	1
阻害作用	そがいさよう	働きを妨げる影響	1
増強作用	ぞうきょうさよう	働きを強める影響	1
誘発要因	ゆうはつよういん	ある現象を引き起こすきっかけとなる要素	1
誘導効果	ゆうどうこうか	特定の方向へ導く働き	1
帰結構造	きけつこうぞう	結果へ至る流れの仕組み	1
