word,meaning,level
補強,より強くすること,1
補助,そばから助けること,1
誘発,ある出来事を引き起こすこと,1
喚起,呼び起こすこと,1
想起,思い出すこと,1
想像,頭の中で思い描くこと,1
創造,新しいものを作り出すこと,1
模倣,まねをすること,1
再現,もう一度同じように表すこと,1
表象,心の中や作品の中に表された姿,1
象徴,あるものを代表して示すもの,1
暗喩,〜のようだと言わずにたとえる比喩,1
直喩,〜のようだとたとえる比喩,1
換喩,近い関係の語で言い換えること,1
提喩,一部で全体を表すこと,1
